"","YEARS","Ag_ca","Am_hy","Am_ra","An_de","An_lu","An_me","An_mi","Ar_at","Ar_ri","Ar_si","Ar_sp","Ba_sp","Be_gl","Bo_sa","Br_br","Ca_sp","Ch_mo","Ci_mu","Cl_ha","Co_mi","Cy_lu","Di_ba","En_ci","Eu_sp","Ga_aa","Ga_ar","Ga_at","Ga_mo","Ga_vu","Gl_cy","Gy_re","Hi_hi","Hi_pl","Le_de","Le_ma","Li_ba","Li_fa","Li_gi","Li_li","Li_spp","Lu_la","Ly_es","Ly_eu","Ly_fl","Ly_fr","Ly_gr","Ly_ko","Ly_pa","Ly_re","Ly_ro","Ly_se","Ly_spp","Ly_sq","Ma_be","Ma_mu","Ma_vi","Me_ae","Me_me","Mi_ki","Mi_po","Mo_di","Mo_mo","My_sc","Pa_bo","Pl_pl","Po_vi","Ra_cl","Ra_fy","Ra_ra","Ra_spp","Re_hi","Se_ma","Se_me","Se_spp","Se_vi","So_mi","St_spp","Tr_es","Tr_mu","Tr_pi","Tr_spp","Ul_ol"
"955",1999,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,14,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,5834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"956",1999,0,0,1,0,0,0,0,4,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,4718,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"957",1999,0,0,0,0,0,0,2,5,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,86,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,3581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"958",1999,0,0,2,3,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0,35,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28513,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
"959",1999,0,0,0,2,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,63,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,11687,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"960",1999,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,2,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42602,0,0,0,0,0,0,38,0,0,0,0,0,0,0,11,0,0,0
"961",1999,0,0,0,1,0,0,0,15,0,0,0,0,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,35,5,0,0,0,0,0,0,19775,0,0,0,0,0,0,20,0,1,0,0,0,0,0,30,0,0,0
"962",1999,0,0,0,0,0,0,0,10,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10418,0,0,1,0,0,0,1,0,0,0,0,0,0,0,93,0,0,0
"963",1999,0,0,0,0,0,0,0,8,0,0,0,0,0,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,6,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21849,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,0
"964",1999,0,0,0,0,0,0,0,7,0,0,0,0,0,323,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,156,2,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,27313,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,8,0
